stazione,data,Sb,Sb_flag,As,As_flag,Cd,Cd_flag,Cr,Cr_flag,Fe,Fe_flag,Mn,Mn_flag,Hg,Hg_flag,Ni,Ni_flag,Pb,Pb_flag,Cu,Cu_flag,Se,Se_flag,Tl,Tl_flag,V,V_flag,Zn,Zn_flag
foscolo,09/03/2021,5.3,0,1.1,0,3.6,0,14.9,0,310.5,0,9.5,0,0.1,1,2.6,0,36.3,0,6.5,0,4.9,0,0.5,1,3,0,56.2,0
foscolo,10/03/2021,32.1,0,1.6,0,4.7,0,16.4,0,219.7,0,8.8,0,0.1,1,2.4,0,790.2,0,5.2,0,1.2,0,0.5,1,3.1,0,163.5,0
foscolo,11/03/2021,8.7,0,0.5,1,1.2,0,14.9,0,289.6,0,10.1,0,0.1,1,2.9,0,36.3,0,7,0,2.6,0,0.5,1,3.1,0,59,0
foscolo,12/03/2021,6.6,0,0.5,1,5.5,0,15.4,0,316.2,0,10.8,0,0.1,1,2.8,0,11.2,0,9.1,0,3.8,0,0.5,1,3.1,0,61.6,0
foscolo,13/03/2021,7.4,0,0.5,1,0.5,0,16.2,0,273.5,0,9.9,0,0.1,1,3.9,0,11.9,0,8,0,1.3,0,0.5,1,3.4,0,56.7,0
foscolo,14/03/2021,2.6,0,0.5,1,2.1,0,13.7,0,180.1,0,6,0,0.1,1,5.6,0,11.3,0,4.9,0,0.5,1,0.5,1,3.3,0,46.5,0
foscolo,15/03/2021,5,0,0.5,1,0.5,0,15.2,0,145.2,0,6.5,0,0.1,1,2.4,0,10.2,0,5.7,0,0.5,1,0.5,1,2.8,0,47.8,0
foscolo,16/03/2021,15.8,0,0.5,1,1.5,0,15.9,0,177.4,0,7.4,0,0.1,1,2.4,0,15.5,0,5.9,0,1.8,0,0.5,1,2.6,0,68,0
foscolo,17/03/2021,35.4,0,3.4,0,53.4,0,20.9,0,144.5,0,9.3,0,0.1,1,2.6,0,63.5,0,4.4,0,6.8,0,0.5,1,2.8,0,1050,0
foscolo,18/03/2021,23.9,0,1,0,1.4,0,19.3,0,107.5,0,5.9,0,0.1,1,2.3,0,10.7,0,3.8,0,0.5,1,0.5,1,2.6,0,102,0
foscolo,19/03/2021,9.5,0,0.5,1,0.6,0,18.6,0,170.7,0,5.5,0,0.1,1,2.2,0,37.2,0,4.6,0,19.1,0,0.5,1,2.7,0,44.5,0
foscolo,20/03/2021,3.5,0,0.5,1,0.1,1,14.2,0,187,0,8.2,0,0.1,1,2.7,0,4.3,0,4.2,0,0.5,1,0.5,1,2.7,0,35.6,0
foscolo,21/03/2021,2.3,0,0.5,1,0.1,1,13.1,0,129.4,0,4.3,0,0.1,1,2.1,0,3.7,0,4,0,0.5,1,0.5,1,2.6,0,28.6,0
foscolo,22/03/2021,51.3,0,1.3,0,3.8,0,34.3,0,357.4,0,17.8,0,0.1,1,3.2,0,41.6,0,9.6,0,1.8,0,0.5,1,3.1,0,202.1,0
foscolo,23/03/2021,38,0,1.4,0,108.7,0,17.3,0,550.6,0,17,0,0.1,1,2.8,0,16.8,0,4.9,0,130.7,0,0.5,1,3.6,0,103,0
foscolo,24/03/2021,40,0,1.6,0,13.3,0,18.1,0,342.7,0,12.1,0,0.1,1,2.9,0,21.9,0,8,0,7.4,0,0.5,1,3.3,0,129.4,0
foscolo,25/03/2021,56.3,0,1.5,0,2.9,0,16.3,0,223.4,0,12.7,0,0.1,1,3.2,0,17.8,0,9.9,0,2.9,0,0.5,1,3.7,0,158.9,0
foscolo,26/03/2021,24.2,0,1,0,1.5,0,14.8,0,233.4,0,7.5,0,0.1,1,2.6,0,8.9,0,5,0,1,0,0.5,1,2.8,0,46.7,0
foscolo,27/03/2021,3.5,0,1.1,0,2.4,0,12.3,0,172.4,0,6,0,0.1,1,3.2,0,6.2,0,4.6,0,1.3,0,0.5,1,4.1,0,35.1,0
foscolo,28/03/2021,4.3,0,0.5,1,0.3,0,12.1,0,167.8,0,3.7,0,0.1,1,3.3,0,5.3,0,3.2,0,1.2,0,0.5,1,4.9,0,34.5,0
foscolo,29/03/2021,28.6,0,1.7,0,27.9,0,16.1,0,147.7,0,5.1,0,0.1,1,3.9,0,18.7,0,10.4,0,5.8,0,0.5,1,5,0,73.4,0
foscolo,30/03/2021,31.3,0,2.7,0,92.3,0,19.9,0,257.1,0,9,0,0.1,1,3.8,0,42.4,0,10.5,0,17.1,0,0.5,1,4.1,0,160.4,0
foscolo,31/03/2021,27.9,0,1.7,0,56.9,0,20.1,0,409.3,0,14.7,0,0.1,1,3.7,0,17.7,0,14.4,0,23.8,0,0.5,1,3.9,0,243.6,0
foscolo,01/04/2021,30.9,0,4.2,0,51.7,0,17.3,0,382.2,0,12.8,0,0.1,1,4.2,0,15.5,0,16.2,0,20.4,0,0.5,1,3.5,0,371,0
foscolo,02/04/2021,10.9,0,1.7,0,68.8,0,13.7,0,284.8,0,8.9,0,0.1,1,4,0,7.1,0,6,0,37.4,0,0.5,1,4.6,0,48.5,0
foscolo,03/04/2021,4.9,0,0.5,1,112.2,0,11.4,0,166.6,0,7.2,0,0.1,1,2.4,0,4.6,0,3,0,45,0,0.5,1,2.7,0,28.4,0
foscolo,04/04/2021,4.9,0,0.5,1,96.4,0,11.9,0,81.3,0,3.1,0,0.1,1,1.8,0,2,0,1.6,0,11.5,0,0.5,1,2,0,23.9,0
foscolo,05/04/2021,9.2,0,0.5,1,239.6,0,12.7,0,110.5,0,7,0,0.1,1,1.7,0,7,0,14.9,0,46.7,0,0.5,1,1.9,0,140.9,0
foscolo,06/04/2021,10.8,0,0.5,1,0.4,0,11.4,0,80,0,2.8,0,0.1,1,1.7,0,1.7,0,2,0,0.5,1,0.5,1,1.8,0,21.4,0
foscolo,07/04/2021,21,0,1.5,0,5.6,0,14.4,0,172.8,0,8.9,0,0.1,1,2.8,0,13.3,0,8.2,0,12.9,0,0.5,1,2,0,385.3,0
foscolo,08/04/2021,65.5,0,2.5,0,18.9,0,27.6,0,195.7,0,8,0,0.1,1,2.3,0,21.9,0,6.3,0,9.4,0,0.5,1,2.2,0,509,0
foscolo,09/04/2021,13.3,0,1.7,0,10.3,0,24.9,0,200.9,0,7.6,0,0.1,1,2.4,0,9.4,0,6.8,0,3.7,0,0.5,1,2.3,0,55.7,0
foscolo,10/04/2021,25.3,0,1.1,0,124.2,0,13.8,0,175.5,0,5.4,0,0.1,1,2.3,0,4.6,0,4.8,0,8.3,0,0.5,1,2.7,0,72.8,0
foscolo,11/04/2021,4.1,0,0.5,1,0.3,0,11.9,0,78.2,0,2.4,0,0.1,1,2.5,0,1.7,0,1.8,0,0.5,1,0.5,1,2.5,0,20.1,0
foscolo,12/04/2021,28.8,0,2,0,585.9,0,13.5,0,135.9,0,4.2,0,0.1,1,2.5,0,11.1,0,3.8,0,21.8,0,0.5,1,3,0,595.4,0
foscolo,13/04/2021,15.7,0,0.5,1,89.8,0,11.7,0,68,0,2.8,0,0.1,1,1.7,0,4.1,0,1.9,0,35.7,0,0.5,1,1.8,0,43.4,0
foscolo,14/04/2021,15.4,0,1.2,0,154.4,0,12.5,0,137.1,0,6.2,0,0.1,1,2.7,0,8.7,0,6.2,0,8.2,0,0.5,1,1.9,0,106.3,0
foscolo,15/04/2021,15.8,0,1.1,0,61.5,0,14,0,104.3,0,4.6,0,0.1,1,2.5,0,4.8,0,2.7,0,24.1,0,0.5,1,2,0,66.6,0
foscolo,16/04/2021,26,0,1.4,0,51.6,0,15.1,0,272.3,0,8.8,0,0.1,1,2.8,0,9.1,0,5.7,0,43.6,0,0.5,1,2.6,0,62.2,0
foscolo,17/04/2021,17.7,0,0.5,1,0.7,0,14.4,0,169.2,0,5.4,0,0.1,1,6.1,0,3.3,0,4,0,1.1,0,0.5,1,2.2,0,38.9,0
foscolo,18/04/2021,9.2,0,0.5,1,47.6,0,15.5,0,131.4,0,4.4,0,0.1,1,1.9,0,4.8,0,2.8,0,11.5,0,0.5,1,2.3,0,150.7,0
foscolo,19/04/2021,16.8,0,2.3,0,81.1,0,14.9,0,171.6,0,8.3,0,0.1,1,2.4,0,6.7,0,5.7,0,42.7,0,0.5,1,2.2,0,360.8,0
foscolo,20/04/2021,21.7,0,4.3,0,139.2,0,18.9,0,207.5,0,7.5,0,0.1,1,2.5,0,62,0,7.2,0,62.2,0,0.5,1,2.2,0,247.6,0
foscolo,21/04/2021,10,0,0.5,1,6.9,0,8.8,0,179.6,0,8.3,0,0.1,1,2.7,0,10,0,5.4,0,4,0,0.5,1,3,0,73.8,0
foscolo,22/04/2021,51.1,0,4,0,26.2,0,11.5,0,163.7,0,6.4,0,0.1,1,2.2,0,20.7,0,4.8,0,13.7,0,0.5,1,2.8,0,322.6,0
foscolo,23/04/2021,27.9,0,0.5,1,6.4,0,7,0,238.3,0,6.7,0,0.1,1,2.5,0,4.3,0,4.8,0,6.6,0,0.5,1,3.1,0,39.9,0
foscolo,24/04/2021,18.4,0,1,0,1.7,0,6.7,0,214.8,0,8.3,0,0.1,1,3.4,0,11,0,5,0,2,0,0.5,1,2.8,0,41.2,0
foscolo,25/04/2021,22.4,0,3.8,0,1735.1,0,7.3,0,182.6,0,6.1,0,0.1,1,2.2,0,59.5,0,4.6,0,14.6,0,0.5,1,2.5,0,253.9,0
foscolo,26/04/2021,20.6,0,1.1,0,366.5,0,6.2,0,319.2,0,10.5,0,0.1,1,2,0,9.5,0,4.1,0,3.3,0,0.5,1,2.8,0,67.7,0
foscolo,27/04/2021,13.5,0,2.7,0,17.2,0,5.7,0,159.1,0,5.9,0,0.1,1,1.7,0,4.5,0,3.4,0,1.1,0,0.5,1,2.2,0,36.9,0
foscolo,28/04/2021,13.2,0,6.5,0,1513.8,0,6.4,0,134,0,5.3,0,0.1,1,1.8,0,97.4,0,3.6,0,10.3,0,0.5,1,2.2,0,159.4,0
foscolo,29/04/2021,31.3,0,3.9,0,386,0,5.5,0,131.5,0,3.8,0,0.1,1,2,0,10.5,0,2.4,0,2,0,0.5,1,3.1,0,72.6,0
foscolo,30/04/2021,22.7,0,3.4,0,48.2,0,6,0,182.5,0,4.5,0,0.1,1,2.9,0,20.8,0,3.9,0,7.6,0,0.5,1,4.1,0,36.7,0
foscolo,01/05/2021,7.5,0,2.2,0,0.6,0,6,0,270.3,0,6.3,0,0.1,1,2.6,0,5.9,0,2.8,0,1.1,0,0.5,1,4.6,0,29.2,0
foscolo,02/05/2021,23.8,0,1.5,0,385.5,0,7.5,0,119.8,0,3.4,0,0.1,1,2.7,0,22.8,0,3,0,24.2,0,0.5,1,2.5,0,48.9,0
foscolo,03/05/2021,37.8,0,9.9,0,530.3,0,5.6,0,131.3,0,3.6,0,0.1,1,1.6,0,59.3,0,3.5,0,54.1,0,0.5,1,2,0,121.8,0
foscolo,04/05/2021,55.2,0,19.8,0,2188.5,0,6.7,0,136.6,0,4.7,0,0.1,1,2.3,0,82.7,0,4.8,0,410.4,0,0.5,1,3.3,0,222.4,0
foscolo,05/05/2021,39.4,0,5.9,0,728.9,0,6.8,0,272.3,0,9.8,0,0.1,1,2.4,0,64.5,0,7.9,0,96,0,0.5,1,2.9,0,164.4,0
foscolo,06/05/2021,14.1,0,0.5,1,4.9,0,6.2,0,181.7,0,6.7,0,0.1,1,1.8,0,2.8,0,3.7,0,0.5,1,0.5,1,2.2,0,33.5,0
foscolo,07/05/2021,26.3,0,0.5,1,5.8,0,7.5,0,212.1,0,8.9,0,0.1,1,5.9,0,5.9,0,6.1,0,2.7,0,0.5,1,1.6,0,36.5,0
foscolo,08/05/2021,10,0,1.5,0,0.8,0,13.2,0,86.7,0,3.4,0,0.1,1,2.1,0,3,0,3.5,0,1.7,0,0.5,1,1.2,0,27.4,0
