data,recettore,stima,valore
2017-12-02,marco,misura,26.2
2017-12-02,serenella,misura,0.2
2017-12-03,foscolo,calpuff,0.1015171
2017-12-03,marco,calpuff,0.1995136
2017-12-03,serenella,calpuff,0.01968221
2017-12-03,foscolo,misura,4.6
2017-12-03,marco,misura,968.4
2017-12-03,serenella,misura,0.1
2017-12-04,foscolo,calpuff,0.09612501
2017-12-04,marco,calpuff,0.214658
2017-12-04,serenella,calpuff,0.1258177
2017-12-04,foscolo,misura,5.9
2017-12-04,marco,misura,NA
2017-12-04,serenella,misura,1.1
2017-12-05,foscolo,calpuff,0.09506187
2017-12-05,marco,calpuff,0.273558
2017-12-05,serenella,calpuff,0.226899
2017-12-05,foscolo,misura,9.2
2017-12-05,marco,misura,NA
2017-12-05,serenella,misura,4.1
2017-12-06,foscolo,calpuff,0.1336414
2017-12-06,marco,calpuff,0.220003
2017-12-06,serenella,calpuff,0.05142494
2017-12-06,foscolo,misura,53
2017-12-06,marco,misura,80.9
2017-12-06,serenella,misura,4
2017-12-07,foscolo,calpuff,0.1662227
2017-12-07,marco,calpuff,0.07203624
2017-12-07,serenella,calpuff,0.07292632
2017-12-07,foscolo,misura,16.2
2017-12-07,marco,misura,19.2
2017-12-07,serenella,misura,1.4
2017-12-08,foscolo,calpuff,0.2091838
2017-12-08,marco,calpuff,0.4977289
2017-12-08,serenella,calpuff,5.809403e-5
2017-12-08,foscolo,misura,1.8
2017-12-08,marco,misura,11.2
2017-12-08,serenella,misura,0.6
2017-12-09,foscolo,calpuff,0.221432
2017-12-09,marco,calpuff,0.1684509
2017-12-09,serenella,calpuff,0.03031896
2017-12-09,foscolo,misura,1.2
2017-12-09,marco,misura,3.8
2017-12-09,serenella,misura,0.4
2017-12-10,foscolo,calpuff,0.1219161
2017-12-10,marco,calpuff,0.9606467
2017-12-10,serenella,calpuff,0.002053386
2017-12-10,foscolo,misura,1
2017-12-10,marco,misura,1551.7
2017-12-10,serenella,misura,0.8
2017-12-11,foscolo,calpuff,0.6108912
2017-12-11,marco,calpuff,0.5739221
2017-12-11,serenella,calpuff,0.02264534
2017-12-11,foscolo,misura,49.2
2017-12-11,marco,misura,58.7
2017-12-11,serenella,misura,0.3
2017-12-12,foscolo,calpuff,0.4002883
2017-12-12,marco,calpuff,0.19625889999999999
2017-12-12,serenella,calpuff,0.08427559
2017-12-12,foscolo,misura,118.2
2017-12-12,marco,misura,112.4
2017-12-12,serenella,misura,13
2017-12-13,foscolo,calpuff,0.2534792
2017-12-13,marco,calpuff,0.2117337
2017-12-13,serenella,calpuff,0.05297973
2017-12-13,foscolo,misura,18.7
2017-12-13,marco,misura,909.5
2017-12-13,serenella,misura,2.1
2017-12-14,foscolo,calpuff,0.1308718
2017-12-14,marco,calpuff,0.3369421
2017-12-14,serenella,calpuff,0.1932491
2017-12-14,foscolo,misura,37.9
2017-12-14,marco,misura,256.2
2017-12-14,serenella,misura,2.4
2017-12-15,foscolo,calpuff,0.2881875
2017-12-15,marco,calpuff,0.5061396
2017-12-15,serenella,calpuff,0.003416974
2017-12-15,foscolo,misura,10
2017-12-15,marco,misura,64.8
2017-12-15,serenella,misura,0.2
2017-12-16,foscolo,calpuff,0.218076
2017-12-16,marco,calpuff,0.2939479
2017-12-16,serenella,calpuff,0.003482173
2017-12-16,foscolo,misura,2
2017-12-16,marco,misura,3.7
2017-12-16,serenella,misura,0.4
2017-12-17,foscolo,calpuff,0.0795192
2017-12-17,marco,calpuff,0.1958642
2017-12-17,serenella,calpuff,0.02776751
2017-12-17,foscolo,misura,1.1
2017-12-17,marco,misura,1155.1
2017-12-17,serenella,misura,0.3
2017-12-18,foscolo,calpuff,0.0754916
2017-12-18,marco,calpuff,0.5427729
2017-12-18,serenella,calpuff,0
2017-12-18,foscolo,misura,11.4
2017-12-18,marco,misura,136.4
2017-12-18,serenella,misura,8.2
2017-12-19,foscolo,calpuff,0.1796016
2017-12-19,marco,calpuff,1.071035
2017-12-19,serenella,calpuff,0.1081905
2017-12-19,foscolo,misura,31.8
2017-12-19,marco,misura,85.7
2017-12-19,serenella,misura,0.7
2017-12-20,foscolo,calpuff,0.1053085
2017-12-20,marco,calpuff,0.3182718
2017-12-20,serenella,calpuff,1.36463e-4
2017-12-20,foscolo,misura,1
2017-12-20,marco,misura,1
2017-12-20,serenella,misura,130.7
2017-12-21,foscolo,calpuff,0.1324072
2017-12-21,marco,calpuff,0.05368909
2017-12-21,serenella,calpuff,0.09763401
2017-12-21,foscolo,misura,3.8
2017-12-21,marco,misura,9
2017-12-21,serenella,misura,1.6
2017-12-22,foscolo,calpuff,0.004307472
2017-12-22,marco,calpuff,0.2412179
2017-12-22,serenella,calpuff,0.02240448
2017-12-22,foscolo,misura,41.4
2017-12-22,marco,misura,16.5
2017-12-22,serenella,misura,1.8
2017-12-23,foscolo,calpuff,0.001465629
2017-12-23,marco,calpuff,0.04029209
2017-12-23,serenella,calpuff,0.0239356
2017-12-23,foscolo,misura,1.4
2017-12-23,marco,misura,2.3
2017-12-23,serenella,misura,1.3
2017-12-24,foscolo,calpuff,0.006168531
2017-12-24,marco,calpuff,0.002941066
2017-12-24,serenella,calpuff,0.0430227
2017-12-24,foscolo,misura,NA
2017-12-24,marco,misura,1.6
